Student ID   Student Name          Program Name                                             Module Name                                       Grades  Finishing Date  Needs to Repeat Class  
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Advanced Machine Learning                         82      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        AI Ethics and Responsible AI                      54      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        AI for Robotics and Autonomous Systems            67      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Automated Planning and Scheduling                 92      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Computer Vision                                   90      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Deep Learning and Neural Networks                 84      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Generative Adversarial Networks (GANs)            82      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Knowledge Representation and Reasoning            75      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Natural Language Processing                       77      2023-12-28      N                     
S0000000005   James Jones           level 8 Higher Diploma in Artificial Intelligence        Reinforcement Learning                            88      2023-12-28      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Advanced Programming Techniques                   49      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Artificial Intelligence and Machine Learning      65      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Computer Networks and Communication               99      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Cybersecurity and Information Assurance           83      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Data Analytics and Visualization                  68      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Database Systems and Management                   95      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Distributed Systems and Cloud Computing           65      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Mobile Application Development                    63      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Software Engineering Principles                   76      2023-08-13      N                     
S0000000006   Emma Garcia           level 8 Higher Diploma in Computing                      Web Development and Technologies                  50      2023-08-13      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Advanced Data Analytics Algorithms                61      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Big Data Technologies and Platforms               86      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Data Mining Techniques                            50      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Data Visualization and Exploration                74      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Foundations of Data Analytics                     65      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Machine Learning and Predictive Modeling          96      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Statistical Methods for Data Analysis             40      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Text Analytics and Natural Language Processing    94      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Time Series Analysis and Forecasting              61      2024-07-29      N                     
S0000000007   William Davis         MSc in Data Analytics                                    Web Analytics and Social Media Analytics          69      2024-07-29      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Advanced Algorithms and Data Structures           73      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Advanced Programming Paradigms                    69      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Artificial Intelligence and Machine Learning      64      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Bioinformatics and Computational Biology          76      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Computer Graphics and Visualization               93      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Cybersecurity and Information Assurance           71      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Distributed Systems and Cloud Computing           94      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 High-Performance Computing                        87      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Natural Language Processing                       93      2021-10-19      N                     
S0000000008   Olivia Rodriguez      Level 8 Computer Science                                 Quantum Computing                                 91      2021-10-19      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Cloud Security                                    62      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Cryptography and Encryption                       95      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Cyber Threat Intelligence                         48      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Cybersecurity Fundamentals                        99      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Identity and Access Management                    95      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Incident Response and Forensics                   91      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Mobile Security                                   60      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Network Security                                  57      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Secure Software Development                       75      2024-02-05      N                     
S0000000009   Benjamin Martinez     Master of Science in Cybersecurity                       Web and Application Security                      94      2024-02-05      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Cryptography and Encryption                       76      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Ethical Hacking and Penetration Testing           50      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Firewall Management and Configuration             86      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Intrusion Detection and Prevention Systems        79      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Network Fundamentals                              89      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Network Routing and Switching                     87      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Network Security Principles                       81      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Secure Network Design and Configuration           85      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Virtual Private Networks (VPNs)                   96      2025-01-19      N                     
S0000000010   Sophia Hernandez      level 7 Diploma in Networking & Systems Security         Wireless Network Security                         78      2025-01-19      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Advanced Software Engineering                     76      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Agile Software Development                        99      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Cloud Computing                                   88      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Database Systems                                  93      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Mobile Application Development                    96      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Object-Oriented Programming                       67      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Project Management for Software Development       93      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Software Testing and Quality Assurance            99      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          User Interface and User Experience Design         90      2021-11-29      N                     
S0000000011   Alexander Lopez       Level 7 Diploma in Applied Software Development          Web Development Technologies                      50      2021-11-29      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Big Data Technologies                             98      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Business Intelligence and Data Warehousing        90      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Data Mining Techniques                            45      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Data Visualization and Reporting                  83      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Database Management and SQL                       74      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Introduction to Data Analytics                    87      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Machine Learning for Business Analytics           76      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Predictive Analytics                              89      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Statistical Analysis for Business                 56      2021-10-30      N                     
S0000000012   Isabella Gonzalez     Level 7 Diploma in Data Analytics for Business           Text Mining and Natural Language Processing       81      2021-10-30      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Advanced Data Analytics Techniques                47      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Advanced Data Visualization and Reporting         97      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Advanced Statistical Analysis for Business        85      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Big Data Analytics and Technologies               81      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Data Warehousing and Business Intelligence        58      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Deep Learning for Data Analytics                  65      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Predictive Modeling and Machine Learning          55      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Spatial Data Analysis                             58      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Text Analytics and Natural Language Processing    45      2024-07-13      N                     
S0000000013   Daniel Wilson         level 8 Higher Diploma in Data Analytics for Business    Time Series Analysis and Forecasting              69      2024-07-13      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Advanced Machine Learning                         59      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        AI Ethics and Responsible AI                      84      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        AI for Robotics and Autonomous Systems            88      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Automated Planning and Scheduling                 62      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Computer Vision                                   67      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Deep Learning and Neural Networks                 75      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Generative Adversarial Networks (GANs)            35      2025-04-06      Y                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Knowledge Representation and Reasoning            77      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Natural Language Processing                       92      2025-04-06      N                     
S0000000014   Mia Anderson          level 8 Higher Diploma in Artificial Intelligence        Reinforcement Learning                            48      2025-04-06      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Advanced Programming Techniques                   85      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Artificial Intelligence and Machine Learning      49      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Computer Networks and Communication               83      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Cybersecurity and Information Assurance           71      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Data Analytics and Visualization                  76      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Database Systems and Management                   63      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Distributed Systems and Cloud Computing           99      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Mobile Application Development                    98      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Software Engineering Principles                   50      2025-05-21      N                     
S0000000015   David Taylor          level 8 Higher Diploma in Computing                      Web Development and Technologies                  95      2025-05-21      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Advanced Data Analytics Algorithms                40      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Big Data Technologies and Platforms               68      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Data Mining Techniques                            69      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Data Visualization and Exploration                65      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Foundations of Data Analytics                     72      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Machine Learning and Predictive Modeling          61      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Statistical Methods for Data Analysis             94      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Text Analytics and Natural Language Processing    96      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Time Series Analysis and Forecasting              55      2023-08-15      N                     
S0000000016   Charlotte Thomas      MSc in Data Analytics                                    Web Analytics and Social Media Analytics          86      2023-08-15      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Advanced Algorithms and Data Structures           74      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Advanced Programming Paradigms                    76      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Artificial Intelligence and Machine Learning      91      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Bioinformatics and Computational Biology          87      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Computer Graphics and Visualization               73      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Cybersecurity and Information Assurance           94      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Distributed Systems and Cloud Computing           93      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 High-Performance Computing                        42      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Natural Language Processing                       64      2025-05-12      N                     
S0000000017   Ethan Moore           Level 8 Computer Science                                 Quantum Computing                                 87      2025-05-12      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Cloud Security                                    95      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Cryptography and Encryption                       60      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Cyber Threat Intelligence                         95      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Cybersecurity Fundamentals                        97      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Identity and Access Management                    91      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Incident Response and Forensics                   56      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Mobile Security                                   83      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Network Security                                  62      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Secure Software Development                       99      2025-02-27      N                     
S0000000018   Ava Jackson           Master of Science in Cybersecurity                       Web and Application Security                      57      2025-02-27      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Cryptography and Encryption                       50      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Ethical Hacking and Penetration Testing           85      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Firewall Management and Configuration             81      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Intrusion Detection and Prevention Systems        87      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Network Fundamentals                              54      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Network Routing and Switching                     86      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Network Security Principles                       96      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Secure Network Design and Configuration           40      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Virtual Private Networks (VPNs)                   90      2025-05-19      N                     
S0000000019   Joseph White          level 7 Diploma in Networking & Systems Security         Wireless Network Security                         89      2025-05-19      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Advanced Software Engineering                     68      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Agile Software Development                        50      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Cloud Computing                                   67      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Database Systems                                  93      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Mobile Application Development                    76      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Object-Oriented Programming                       99      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Project Management for Software Development       99      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Software Testing and Quality Assurance            76      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          User Interface and User Experience Design         65      2024-05-15      N                     
S0000000020   Amelia Harris         Level 7 Diploma in Applied Software Development          Web Development Technologies                      90      2024-05-15      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Big Data Technologies                             56      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Business Intelligence and Data Warehousing        83      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Data Mining Techniques                            50      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Data Visualization and Reporting                  45      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Database Management and SQL                       81      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Introduction to Data Analytics                    61      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Machine Learning for Business Analytics           87      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Predictive Analytics                              83      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Statistical Analysis for Business                 90      2021-09-19      N                     
S0000000021   Samuel Martin         Level 7 Diploma in Data Analytics for Business           Text Mining and Natural Language Processing       89      2021-09-19      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Advanced Data Analytics Techniques                71      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Advanced Data Visualization and Reporting         47      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Advanced Statistical Analysis for Business        58      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Big Data Analytics and Technologies               65      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Data Warehousing and Business Intelligence        93      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Deep Learning for Data Analytics                  58      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Predictive Modeling and Machine Learning          45      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Spatial Data Analysis                             69      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Text Analytics and Natural Language Processing    85      2021-10-13      N                     
S0000000022   Evelyn Thompson       level 8 Higher Diploma in Data Analytics for Business    Time Series Analysis and Forecasting              55      2021-10-13      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Advanced Machine Learning                         94      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        AI Ethics and Responsible AI                      75      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        AI for Robotics and Autonomous Systems            48      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Automated Planning and Scheduling                 48      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Computer Vision                                   88      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Deep Learning and Neural Networks                 77      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Generative Adversarial Networks (GANs)            59      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Knowledge Representation and Reasoning            92      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Natural Language Processing                       62      2022-10-15      N                     
S0000000023   Christopher Lewis     level 8 Higher Diploma in Artificial Intelligence        Reinforcement Learning                            82      2022-10-15      N                     
S0000000024   Victoria Hall         level 8 Higher Diploma in Computing                      Advanced Programming Techniques                   79      2023-11-09      N                     
S0000000024   Victoria Hall         level 8 Higher Diploma in Computing                      Artificial Intelligence and Machine Learning      85      2023-11-09      N                     
S0000000024   Victoria Hall         level 8 Higher Diploma in Computing                      Computer Networks and Communication               71      2023-11-09      N                     
S0000000024   Victoria Hall         level 8 Higher Diploma in Computing                      Cybersecurity and Information Assurance           65      2023-11-09      N                     
S0000000024   Victoria Hall         level 8 Higher Diploma in Computing                      Data Analytics and Visualization                  50      2023-11-09      N                     
S0000000024   Victoria Hall         level 8 Higher Diploma in Computing                      Database Systems and Management                   98      2023-11-09      N                     
